TRIP
DATE 2014-07-24 
DECLINATION     0.00
DATA
1.909		69.92	12.95	2.400	>
1.909		48.28	85.56	3.510	>
1.909		338.65	-59.22	0.510	>
1.909	1.910	334.25	39.73	3.816	>
1.910		274.71	7.45	2.150	>
1.910		75.07	14.22	0.240	>
1.910		266.97	69.45	12.670	>
1.910		280.30	-78.83	1.500	>
1.910	1.911	328.21	-17.25	4.559	>
1.911		264.16	17.80	1.580	>
1.911		77.89	4.75	9.860	>
1.911		24.06	75.61	9.960	>
1.911		312.88	-75.77	0.699	>
1.911		342.52	-6.77	10.890	>
1.911		18.43	-1.57	5.270	>
1.911		42.96	3.28	11.540	>
1.911		92.77	2.78	12.020	>
1.911		122.18	19.26	8.290	>
1.911		104.98	46.49	13.520	>
1.911		54.84	74.98	14.559	>
1.911		328.26	52.72	11.810	>
1.911		303.49	16.27	15.630	>
1.911		330.67	2.07	16.210	>
1.911		352.51	-12.91	10.880	>
1.911		269.49	54.53	11.680	>
1.911		185.25	68.52	14.330	>
1.911		197.69	36.66	3.770	>
1.911	1.912	313.25	9.80	9.820	>
1.912		252.97	18.59	4.290	>
1.912		32.74	-0.73	2.131	>
1.912		2.02	74.82	9.650	>
1.912		259.68	-72.03	1.140	>
1.912	1.913	328.09	0.99	13.013	>
1.913		266.48	26.75	2.550	>
1.913		49.50	6.69	2.550	>
1.913		289.59	76.43	10.640	>
1.913		39.29	-56.17	1.481	>
1.913	1.914	346.70	2.95	6.753	>
1.914		191.46	3.17	2.550	>
1.914		39.06	4.41	2.330	>
1.914		198.75	82.87	7.970	>
1.914		126.87	-87.56	0.470	>
1.914	1.915	268.82	21.05	17.776	>
1.915		141.72	1.28	2.960	>
1.915		6.62	20.48	1.749	>
1.915		61.86	74.56	5.971	>
1.915		113.21	-63.22	1.070	>
1.915		146.39	-44.64	5.871	>
1.915	1.916	239.15	6.21	3.023	>
1.916		149.32	-4.08	4.390	>
1.916		346.32	11.89	0.670	>
1.916		229.72	83.93	31.150	>
1.916		90.38	-84.69	1.610	>
1.916		215.93	81.56	31.640	>
1.916		174.14	0.66	1.470	>
1.916		130.33	-45.71	5.720	>
1.916		5.83	2.68	1.371	>
1.916		2.63	68.45	12.940	>
1.916		305.91	71.52	13.720	>

PLAN
STATIONS
-6.426	-5.826	1.1
-14.176	-4.502	1.2
-14.653	3.150	1.888
-21.264	4.917	1.889
-28.232	9.943	1.890
-23.679	13.044	1.891
-18.739	17.637	1.892
-22.702	19.303	1.893
-26.923	-0.184	1.894
-34.115	3.990	1.895
-37.026	5.603	1.896
-44.529	6.848	1.897
-38.155	8.669	1.898
-39.104	11.995	1.899
-36.870	13.394	1.900
-51.155	15.408	1.901
-65.163	24.968	1.902
-63.463	31.059	1.903
-60.055	40.039	1.904
-55.842	47.460	1.905
-54.139	48.248	1.906
-72.215	50.933	1.907
-76.849	48.262	1.908
-79.769	53.318	1.909
-81.044	55.961	1.910
-83.338	59.662	1.911
-90.386	66.292	1.912
-97.263	77.337	1.913
-98.814	83.900	1.914
-115.400	83.559	1.915
-117.980	82.018	1.916
SHOTS
-115.400	83.559	-117.980	82.018
-117.980	82.018	-121.503	84.569
-117.980	82.018	-117.762	86.766
-117.980	82.018	-117.841	83.380
-117.980	82.018	-114.935	79.433
-117.980	82.018	-117.830	80.556
-117.980	82.018	-120.706	78.256
-117.980	82.018	-117.831	82.017
-117.980	82.018	-120.493	79.888
-117.980	82.018	-118.135	82.655
-117.980	82.018	-115.746	78.252
-98.814	83.900	-115.400	83.559
-115.400	83.559	-113.088	80.080
-115.400	83.559	-114.957	83.369
-115.400	83.559	-113.998	84.309
-115.400	83.559	-115.211	85.187
-115.400	83.559	-113.567	81.236
-97.263	77.337	-98.814	83.900
-98.814	83.900	-98.798	83.888
-98.814	83.900	-99.132	82.963
-98.814	83.900	-97.350	85.704
-98.814	83.900	-99.320	81.405
-90.386	66.292	-97.263	77.337
-97.263	77.337	-96.741	77.975
-97.263	77.337	-99.615	78.174
-97.263	77.337	-95.337	78.982
-97.263	77.337	-99.536	77.197
-83.338	59.662	-90.386	66.292
-90.386	66.292	-90.732	66.229
-90.386	66.292	-90.297	68.818
-90.386	66.292	-89.234	68.084
-90.386	66.292	-94.274	65.101
-81.044	55.961	-83.338	59.662
-83.338	59.662	-84.257	56.781
-83.338	59.662	-83.818	54.436
-83.338	59.662	-90.116	59.602
-83.338	59.662	-84.720	70.177
-83.338	59.662	-91.272	73.785
