TRIP
DATE 2011-07-06 
DECLINATION     0.00
DATA
1.312		166.38	-28.88	0.383	>
1.312		96.68	69.93	0.602	>
1.312		177.06	-86.94	0.732	>
1.310	1.313	22.92	39.48	8.468	>
1.313		299.10	15.16	2.150	>
1.313		91.86	27.46	0.312	>
1.313		316.82	58.65	1.626	>
1.313		351.96	-53.18	1.705	>
1.313	1.314	359.68	-23.48	3.534	>
1.314		330.99	6.91	2.019	>
1.314		118.74	2.80	1.720	>
1.314		0.82	72.73	3.534	>
1.314		73.96	-50.83	2.728	>
1.314	1.315	66.61	13.79	6.559	>
1.315		314.01	3.90	1.971	>
1.315		91.56	6.34	0.480	>
1.315		331.81	49.79	1.151	>
1.315		10.81	-64.68	2.269	>
1.315	1.316	353.87	-17.00	5.130	>
1.316		283.55	-16.90	0.602	>
1.316		50.14	-14.46	1.173	>
1.316		340.90	60.81	0.840	>
1.316		318.08	-57.62	1.744	>
1.316	1.317	253.49	-35.93	5.642	>
1.291		287.34	1.07	19.309	>
1.291		40.17	11.11	13.994	>
1.291		107.80	88.42	9.368	>
1.291		19.45	-55.55	0.632	>
1.291	1.318	335.56	-2.91	24.836	>
1.318		262.93	2.29	5.963	>
1.318		62.46	20.50	3.032	>
1.318		321.56	77.70	5.232	>
1.318		24.35	-36.03	1.103	>
1.318	1.319	0.24	0.13	15.064	>
1.319		277.68	-8.62	3.117	>
1.319		124.30	20.34	7.182	>
1.319		72.56	65.43	5.057	>
1.319		73.35	-67.38	1.216	>
1.319	1.320	325.83	1.13	3.102	>
1.319	1.321	79.28	-0.37	15.858	>
1.321		297.33	10.72	9.616	>
1.321		93.79	39.31	2.461	>
1.321		343.02	75.21	6.558	>
1.321		334.18	-61.20	1.206	>
1.321	1.322	353.74	3.18	27.338	>
1.322		293.98	4.92	7.573	>
1.322		92.83	-4.92	3.858	>
1.322		52.74	85.25	9.948	>
1.322		341.97	-67.01	1.142	>
1.322	1.323	6.49	-4.70	17.490	>
1.323		237.76	0.68	7.506	>
1.323		98.39	6.98	15.983	>
1.323		179.64	81.78	6.670	>
1.323		135.90	-73.30	1.100	>
1.323		156.25	20.55	11.441	>
1.323		210.47	23.75	7.258	>
1.323		264.71	16.21	10.737	>
1.323		300.51	9.83	11.309	>
1.323		275.95	5.90	27.385	>
1.323		344.92	20.61	6.966	>
1.323		27.87	14.43	9.375	>
1.323		84.59	44.12	8.425	>
1.323		307.21	50.12	7.254	>
1.323	1.324	73.49	-0.87	10.483	>
1.324		317.69	1.72	7.985	>
1.324		102.73	8.26	7.323	>
1.324		86.17	75.47	4.717	>
1.324		75.47	-24.80	5.160	>
1.324	1.325	48.73	-20.06	18.388	>
1.325		29.42	-1.36	2.436	>
1.325		181.13	8.73	5.766	>
1.325		164.12	85.14	9.871	>
1.325		178.82	-61.13	1.806	>
1.325	1.326	100.24	-22.85	13.025	>
1.326		328.71	8.53	8.858	>
1.326		155.15	20.24	2.663	>
1.326		11.71	66.77	7.555	>
1.326		338.78	-60.99	1.988	>
1.326	1.327	32.00	20.75	15.673	>
1.327		3.64	3.97	1.388	>
1.327		156.44	22.38	8.361	>
1.327		113.52	70.17	5.095	>
1.327		44.40	-68.08	1.263	>
1.327	1.328	72.42	6.32	12.572	>
1.328		289.42	-1.88	4.866	>
1.328		93.41	14.27	8.111	>
1.328		66.09	55.99	12.604	>
1.328		58.71	-41.53	1.849	>
1.328		67.32	29.35	16.679	>
1.328	1.329	6.72	-13.21	20.910	>
1.329		297.89	-15.75	6.665	>
1.329		64.72	-7.06	4.246	>
1.329		338.31	73.87	3.973	>
1.329		328.89	-63.21	1.190	>
1.329	1.330	19.32	4.71	13.989	>
1.330		294.01	1.03	3.439	>
1.330		81.34	10.41	0.642	>
1.330		3.58	74.90	3.072	>
1.330		298.35	-64.41	3.583	>
1.330	1.331	353.34	1.69	4.648	>
1.331		307.76	-21.75	1.009	>
1.331		79.48	13.15	3.032	>
1.331		52.21	76.83	0.816	>
1.331		58.59	-73.43	1.151	>
1.331	1.337	116.15	35.94	25.373	>
1.331	1.332	43.13	6.66	27.649	>
1.332		303.74	-24.90	6.999	>
1.332		122.96	24.35	9.282	>
1.332		93.54	69.13	4.232	>
1.332		90.39	-62.65	0.951	>
1.332	1.333	35.06	10.92	39.508	>
1.333		306.40	7.54	4.122	>
1.333		122.47	21.79	3.794	>
1.333		31.17	73.91	3.555	>
1.333		64.87	-62.36	1.309	>
1.333	1.334	41.68	-0.03	28.344	>
1.334		309.96	-18.90	10.664	>
1.334		111.42	7.28	1.082	>
1.334		341.35	53.91	2.659	>
1.334		332.63	-47.70	7.101	>
1.334	1.335	21.92	2.42	24.295	>
1.335		307.71	-21.86	7.389	>
1.335		82.86	8.54	4.254	>
1.335		25.45	63.98	1.156	>
1.335		352.23	-71.52	1.331	>
1.335	1.336	30.09	8.15	8.470	>
1.336		264.38	-0.96	2.146	>
1.336		88.49	3.92	3.917	>
1.336		28.94	78.92	1.290	>
1.336		251.95	-71.28	1.016	>
1.325		210.81	9.06	4.666	>
1.325		35.47	13.40	2.485	>
1.325		352.27	84.96	11.182	>
