TRIP
DATE 2014-04-30 
DECLINATION     0.00
DATA
7.470	4.530
7.500	4.470
7.650	4.440
7.920	4.380
POLYLINE BLACK
3.450	3.060
3.480	3.000
3.390	2.940
3.210	2.610
2.850	2.280
2.760	2.190
3.000	2.250
3.300	2.400
4.050	2.670
POLYLINE BLACK
2.430	4.440
2.370	3.960
POLYLINE BLACK
2.190	4.830
2.370	4.530
2.430	4.500
2.550	4.590
2.760	4.890
POLYLINE BLACK
3.330	5.250
3.390	5.220
3.420	5.010
3.360	4.890
POLYLINE BLACK
2.910	5.310
3.000	5.280
3.120	5.070
3.180	5.040
3.330	5.250
3.450	5.370
3.540	5.400
3.630	5.550
POLYLINE BLACK
1.230	1.980
1.350	1.980
1.470	2.040
1.560	2.040
1.620	2.100
1.740	2.100
2.070	2.430
2.340	2.760
2.610	2.970
2.730	3.150
3.420	3.570
3.660	3.780
3.750	3.930
4.320	4.440
4.620	4.740
4.740	4.800
4.830	4.950
4.860	5.070
5.130	5.430
POLYLINE BLACK
3.150	1.890
3.120	1.830
3.270	1.950
3.660	2.130
3.810	1.920
3.810	1.710
3.720	1.470
3.600	1.380
3.540	1.380
3.480	1.440
3.450	1.770
3.450	1.860
3.420	1.920
POLYLINE BLACK
1.890	1.350
1.980	1.680
2.100	1.770
2.250	1.590
2.250	1.470
2.220	1.350
1.920	1.110
1.800	1.290
POLYLINE BLACK
2.190	0.600
2.280	0.870
2.430	1.200
2.490	1.200
2.610	1.110
2.700	1.110
2.820	1.080
2.910	0.960
2.880	0.840
2.850	0.750
2.640	0.630
2.370	0.600
POLYLINE BLACK
7.890	2.640
7.890	2.280
7.920	2.190
POLYLINE BLACK
7.710	3.270
7.740	3.120
7.890	2.490
8.400	3.120
POLYLINE BLACK
1.260	-0.390
1.290	-0.450
1.470	-0.300
1.530	-0.300
1.650	-0.180
1.710	-0.180
1.890	-0.030
2.040	-0.030
2.310	0.120
2.490	0.150
2.700	0.240
3.030	0.480
3.420	0.750
3.720	0.900
3.780	0.900
3.840	0.960
4.200	1.140
4.530	1.170
4.800	1.350
4.920	1.380
5.550	1.800
5.820	1.890
6.120	2.250
6.480	2.610
6.870	2.730
6.930	2.700
POLYLINE BLACK
0.540	2.940
0.180	3.210
POLYLINE BLACK
-1.020	5.400
-1.080	5.610
-1.020	5.520
POLYLINE BLACK
-0.510	5.250
-0.360	5.220
0.090	5.220
0.150	5.250
0.210	5.220
POLYLINE BLACK
-0.900	5.310
-0.480	5.460
-0.300	5.460
0.090	5.520
0.150	5.520
0.210	5.460
POLYLINE BLACK
-0.510	4.560
-0.450	4.680
-0.450	5.220
POLYLINE BLACK
-0.810	4.680
-0.780	4.830
-0.780	5.070
-0.750	5.190
-0.750	5.310
POLYLINE BLACK
0.270	4.290
0.120	4.380
-0.870	5.370
POLYLINE BLACK
-2.790	5.190
-2.790	5.250
-2.580	5.520
-2.430	5.790
-2.100	5.460
-2.070	5.340
-2.310	4.950
-2.370	4.800
-2.490	4.830
-2.640	4.980
-2.730	5.130
-2.760	5.250
-2.820	5.400
POLYLINE BLACK
-3.600	1.800
-3.510	1.890
-3.450	1.860
-3.480	1.800
-3.630	1.950
POLYLINE BLACK
-2.790	1.710
-2.880	1.590
-2.880	1.230
-2.760	1.200
-2.610	1.200
-2.550	1.170
-2.580	1.050
-2.700	0.900
-2.850	0.840
POLYLINE BLACK
-3.630	2.010
POLYLINE BLACK
-0.420	-3.030
-0.480	-3.240
-0.480	-3.390
-0.540	-3.570
POLYLINE BLACK
-0.690	-2.580
-0.750	-2.520
-0.720	-2.700
-0.540	-3.030
-0.480	-3.060
-0.270	-2.700
-0.180	-2.550
POLYLINE BLACK
2.580	-2.400
2.580	-2.490
2.550	-2.640
2.520	-3.000
2.430	-3.090
2.280	-3.300
2.430	-3.150
2.610	-2.970
2.670	-2.940
2.700	-3.060
2.700	-3.150
2.730	-3.270
POLYLINE BLACK
2.040	-2.070
2.070	-2.130
2.040	-2.250
2.040	-2.610
POLYLINE BLACK
1.920	-1.890
1.980	-2.130
2.040	-2.160
2.220	-1.980
2.460	-1.650
2.490	-1.560
POLYLINE BLACK
2.160	-4.530
2.160	-4.530
2.160	-4.440
2.010	-3.990
2.010	-3.900
1.860	-3.540
1.770	-3.420
1.590	-3.060
1.470	-2.880
1.470	-2.760
1.380	-2.490
1.320	-2.430
1.290	-2.310
1.140	-2.040
0.930	-1.440
0.930	-1.350
0.900	-1.290
0.930	-1.170
0.930	-1.020
0.810	-0.780
0.780	-0.660
0.930	-0.510
1.140	-0.300
POLYLINE BLACK
0.660	-2.970
0.690	-3.120
0.720	-3.270
0.750	-3.540
0.810	-3.810
0.840	-4.080
0.870	-4.200
0.870	-4.260
0.930	-4.350
0.930	-4.410
1.260	-4.740
1.350	-4.920
POLYLINE BLACK
-0.660	-0.030
-0.630	-0.150
-0.360	-0.420
-0.210	-0.750
-0.180	-1.020
-0.180	-1.230
-0.030	-1.710
0.000	-1.830
0.240	-2.340
0.300	-2.490
0.480	-2.700
0.540	-2.850
0.780	-3.240
POLYLINE BLACK
-2.070	4.710
-2.010	4.740
-1.770	4.500
-1.500	4.080
-1.290	3.840
-1.200	3.630
-0.750	3.210
-0.630	2.940
-0.420	2.610
0.120	2.280
0.240	2.250
0.420	2.160
0.540	2.130
0.750	2.100
0.810	2.130
0.960	1.980
0.990	1.920
